,Dist Code,Year,State Code,State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),RABI SORGHUM AREA (1000 ha),RABI SORGHUM PRODUCTION (1000 tons),RABI SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),FINGER MILLET AREA (1000 ha),FINGER MILLET PRODUCTION (1000 tons),FINGER MILLET YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),SAFFLOWER AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),SAFFLOWER YIELD (Kg per ha),CASTOR AREA (1000 ha),CASTOR PRODUCTION (1000 tons),CASTOR YIELD (Kg per ha),LINSEED AREA (1000 ha),LINSEED PRODUCTION (1000 tons),LINSEED YIELD (Kg per ha),SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),SUNFLOWER YIELD (Kg per ha),SOYABEAN AREA (1000 ha),SOYABEAN PRODUCTION (1000 tons),SOYABEAN YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha),Total Area (1000 ha),Total Production (1000 tons),Total Yield (Kg per ha),Rainfall(mm)
0,54,2008,1,Andhra Pradesh,Chittoor,55.52,164.88,2969.74,0.0,0.0,0.0,1.21,0.81,669.42,0.0,0.0,0.0,1.21,0.81,669.42,1.72,3.3,1918.6,1.8,12.39,6883.33,7.99,5.66,708.39,0.0,0.0,0.0,0.06,0.07,1166.67,7.17,2.55,355.65,7.6,4.03,530.26,188.9,130.62,691.48,0.57,0.19,333.33,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.38,760.0,0.0,0.0,0.0,3.18,2.02,635.22,0.0,0.0,0.0,197.08,133.2,675.87,48.06,231.64,4819.81,0.02,0.01,500.0,62.8,19.95,82.74,1.37,0.46,5.61,1173.5199999999998,1425.94,2138.91,953.3
1,46,2008,1,Andhra Pradesh,East Godavari,410.09,1513.26,3690.07,0.0,0.0,0.0,0.66,1.68,2545.45,0.0,0.0,0.0,0.66,1.68,2545.45,0.82,0.55,670.73,8.18,54.26,6633.25,0.67,0.69,1029.85,0.0,0.0,0.0,0.73,1.27,1739.73,0.72,0.34,472.22,77.84,21.56,276.98,0.49,1.05,2142.86,1.68,0.31,184.52,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,500.0,0.0,0.0,0.0,0.33,0.33,1000.0,0.16,0.21,1312.5,58.19,117.8,2024.4,28.36,119.11,4199.93,7.43,2.41,324.36,81.49,28.72,110.21,0.0,0.93,5.73,1357.0400000000002,3732.3399999999997,5598.509999999999,1123.5
2,49,2008,1,Andhra Pradesh,Guntur,393.29,1368.83,3480.46,0.0,0.0,0.0,0.18,0.47,2575.0,7.34,40.84,5567.01,7.52,41.31,5493.19,5.63,6.35,1129.19,99.61,970.21,9739.65,0.73,1.35,1860.76,0.0,0.0,0.0,55.69,101.92,1829.97,50.51,31.13,616.35,51.92,29.82,574.4,9.64,21.4,2219.87,2.5,1.18,472.65,0.71,0.02,28.17,0.0,0.0,0.0,6.28,4.38,697.88,0.0,0.0,0.0,18.49,18.86,1019.9,0.01,0.01,1500.0,37.88,45.85,1210.53,1.07,6.88,6400.0,185.05,119.7,646.86,30.78,15.13,45.9,0.0,0.78,41.62,1929.6599999999999,5652.840000000001,8479.260000000002,964.5
3,48,2008,1,Andhra Pradesh,Krishna,394.53,1427.3,3617.72,0.0,0.0,0.0,0.0,0.01,0.0,0.27,1.29,4777.78,0.28,1.3,4642.86,0.0,0.0,0.0,29.32,230.37,7857.09,0.0,0.0,0.0,0.0,0.0,0.0,0.93,1.62,1741.94,3.46,2.11,609.83,105.11,93.38,888.4,8.17,20.39,2495.72,0.61,0.11,180.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.04,0.04,1000.0,0.0,0.0,0.0,14.01,91.64,6541.04,20.85,110.3,5290.17,36.67,22.35,609.49,71.14,9.61,80.74,0.0,0.09,10.89,1370.7999999999995,4023.819999999999,6035.729999999998,1303.9
4,51,2008,1,Andhra Pradesh,Kurnool,132.47,454.09,3427.84,0.75,0.41,546.67,10.89,32.49,2982.82,56.2,136.0,2419.79,67.1,168.5,2511.18,10.19,11.15,1094.51,22.46,127.31,5667.84,0.25,0.47,1860.76,0.0,0.0,0.0,239.08,353.79,1479.78,41.35,13.71,331.58,6.93,3.96,570.57,247.67,179.21,723.59,1.12,0.52,459.05,4.59,3.01,655.77,0.38,0.15,394.74,16.51,12.34,747.57,0.0,0.0,0.0,150.93,119.61,792.54,0.09,0.12,1339.06,421.4,314.95,747.39,1.41,9.88,7007.09,29.92,10.86,362.78,14.85,33.56,48.4,0.02,18.24,4.07,2953.12,4008.66,6012.99,708.6
5,44,2008,1,Andhra Pradesh,Srikakulam,271.17,570.58,2104.12,0.0,0.0,0.0,0.47,1.21,2574.47,0.02,0.1,5000.0,0.49,1.31,2673.47,3.6,5.17,1439.5,11.2,48.43,4322.62,4.3,4.38,1018.6,0.0,0.0,0.0,0.12,0.22,1720.0,2.27,1.09,480.18,102.88,47.92,465.76,48.95,50.82,1038.1,16.38,1.86,113.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.85,1016.04,0.0,0.0,0.0,85.55,60.83,710.99,21.4,98.86,4620.94,5.2,1.64,315.38,69.19,9.09,78.28,0.0,1.49,0.03,1291.98,1815.7000000000003,2723.55,1047.9
6,47,2008,1,Andhra Pradesh,West Godavari,450.46,1600.38,3552.77,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.35,4375.0,0.08,0.35,4375.0,0.0,0.0,0.0,48.1,378.6,7871.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.12,461.54,10.04,4.08,406.37,10.69,19.99,1869.97,0.56,0.1,178.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,2.37,1012.82,0.0,0.0,0.0,43.95,175.75,3998.86,52.9,305.83,5781.29,3.51,2.15,612.54,69.92,6.16,76.08,0.0,0.0,1.82,1385.78,4992.459999999998,7488.689999999997,1234.1000000000001
7,601,2008,17,Assam,Cachar,237.69,540.36,2273.38,0.13,0.14,1076.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.07,538.46,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,500.0,0.23,0.16,695.65,0.41,0.24,585.37,0.0,0.0,0.0,0.28,0.14,500.0,3.06,1.68,549.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,2.12,563.83,0.66,1.97,2984.85,0.2,0.01,50.0,11.05,26.75,37.8,4.69,0.1,0.48,524.7199999999999,1147.54,1721.31,2919.7
8,602,2008,17,Assam,Darrang,335.29,482.89,1440.22,6.56,7.56,1152.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.82,598.54,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.14,736.84,0.49,0.4,816.33,5.06,3.08,608.7,0.0,0.0,0.0,1.5,0.97,646.67,28.0,17.75,633.93,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.75,21.37,633.19,3.66,14.0,3825.14,0.01,0.0,0.0,12.75,55.96,68.7,13.72,0.61,0.6,884.7200000000001,1211.1,1816.6499999999999,1756.4
9,603,2008,17,Assam,Dibrugarh,136.27,232.58,1706.76,0.21,0.22,1047.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.59,578.43,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.1,0.07,700.0,0.87,0.34,390.8,0.0,0.0,0.0,0.11,0.05,454.55,8.51,5.67,666.27,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.48,6.09,642.41,0.29,1.12,3862.07,0.0,0.0,0.0,9.4,17.61,27.03,2.57,0.09,2.93,337.7,528.86,793.29,2448.5
10,604,2008,17,Assam,Goalpara,375.69,554.31,1475.46,17.77,22.72,1278.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.77,565.35,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.26,534.98,1.19,0.86,723.15,7.0,4.2,600.23,0.0,0.0,0.0,2.76,1.34,483.71,41.78,21.98,526.21,0.0,0.0,0.0,0.14,0.06,405.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.54,27.36,541.25,0.61,2.36,3891.09,0.02,0.0,0.0,12.29,49.51,61.79,14.06,0.71,1.03,1051.3999999999999,1372.88,2059.32,2756.9
11,606,2008,17,Assam,Karbi Anglong,125.9,193.03,1533.2,1.23,1.66,1349.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.58,8.33,787.33,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.25,531.91,1.24,0.84,677.42,0.75,0.44,586.67,0.0,0.0,0.0,2.8,1.99,710.71,17.11,9.04,528.35,0.0,0.0,0.0,0.58,0.23,396.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.16,10.79,535.22,7.27,33.29,4579.09,0.79,0.07,88.61,7.23,5.12,12.35,0.84,0.33,0.0,393.9000000000001,530.8199999999999,796.2299999999999,1185.3999999999999
12,607,2008,17,Assam,Lakhimpur,195.78,152.87,780.83,0.98,0.64,653.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.25,694.44,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.08,0.06,750.0,4.17,2.05,491.61,0.0,0.0,0.0,0.4,0.16,400.0,41.61,20.74,498.44,0.0,0.0,0.0,0.21,0.09,428.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.08,22.95,498.05,0.42,1.55,3690.48,0.02,0.0,0.0,9.44,23.03,32.48,9.52,0.23,0.92,618.1800000000001,449.24,673.86,2692.8
